City,Year,Reporter,PerpetratorRace,VictimRace,WitnessRace,PerpetratorGender,VictimGender,WitnessGender,Assault,Assault2,Lat,Long
Penticton,2021,Victim,White,Asian,Not Applicable,Male,Female,Not Applicable,racial harassment,harassment,49.49900935,-119.5903115
Kelowna,2021,Social Services Worker /Counsellor/ Staff,White,Latino,White,Female,Male,Unable to tell/Gender Nonbinary,racial harassment,harassment,49.86291782,-119.4569027
Salmon Arm,2021,Victim,no answer,no answer,no answer,no answer,no answer,no answer,no narrative,no narrative,50.70024394,-119.2789049
Kelowna,2021,Social Services Worker /Counsellor/ Staff,White,Asian,Not Applicable,Male,Female,Not Applicable,discrimination,discrimination,49.93906806,-119.3945409
Kelowna,2021,Social Services Worker /Counsellor/ Staff,White,Asian,Not Applicable,Female,Female,no answer,racial discrimination,discrimination,49.88098576,-119.4756022
Kelowna,2021,Victim,Black,Asian,White,Male,Female,Female,racial harassment,harassment,49.88098576,-119.4756022
Kelowna,2021,Social Services Worker /Counsellor/ Staff,White,South Asian,no answer,Male,Female,no answer,harassment,harassment,49.89280273,-119.3809429
Kelowna,2020,Witness,White,Asian,White,Female,Female,Male,racial harassment,harassment,49.88788188,-119.4948928
Kelowna,2021,Victim,White,Black,White,Male,Female,Female,racial harassment,harassment,49.8825331,-119.4787113
Kelowna,2021,Victim,no answer,White,no answer,no answer,Female,no answer,no narrative,no narrative,49.88788188,-119.4948928
Other place not listed,2021,Social Services Worker /Counsellor/ Staff,no answer,no answer,no answer,no answer,no answer,no answer,no narrative,no narrative,49.88788188,-119.4948928
Kelowna,2021,Witness,Not Applicable,Black,White,Not Applicable,Male,Female,racial harassment,harassment,49.89937472,-119.4889239
Kelowna,2021,Witness,Not Applicable,Black,White,Male,Not Applicable,Female,racial harassment,harassment,49.89937472,-119.4889239
Kelowna,2021,Social Services Worker /Counsellor/ Staff,White,Asian,Not Applicable,Male,Female,Not Applicable,racial harassment,harassment,49.88788188,-119.4943466
Kelowna,2021,Social Services Worker /Counsellor/ Staff,Unable to tell,Asian,Not Applicable,Male,Not Applicable,Not Applicable,racial harassment,harassment,49.914624,-119.4460896
Kelowna,2021,Social Services Worker /Counsellor/ Staff,Unable to tell,Not Applicable,Unable to tell,Unable to tell/Gender Nonbinary,Unable to tell/Gender Nonbinary,Unable to tell/Gender Nonbinary,antisemitism,harassment,49.8772229,-119.4363777
Kelowna,2021,Social Services Worker /Counsellor/ Staff,White,Not Applicable,Unable to tell,Male,Not Applicable,Male,racial harassment,harassment,49.8790111,-119.4884379
Kelowna,2021,Social Services Worker /Counsellor/ Staff,White,Asian,Unable to tell,Male,Female,Unable to tell/Gender Nonbinary,racial harassment,harassment,49.88958799,-119.4134442
Kelowna,2021,Witness,White,Asian,Asian,Male,Male,Female,racial harassment,harassment,49.88007598,-119.4292734
Kelowna,2021,Victim,White,Asian,White,Female,Male,White,racial harassment,harassment,49.86273431,-119.490968
Kelowna,2021,Witness,Not Applicable,Unable to tell,Asian,Not Applicable,Female,Female,covid,harassment,49.88482526,-119.4897093
Penticton,2021,Victim,White,"Other, Not listed",White,Female,Male,Not Applicable,harassment,harassment,49.49140013,-119.5694316
Vernon,2022,Witness,White,Not Applicable,Not Applicable,Male,Not Applicable,Not Applicable,antisemitism,harassment,50.26596885,-119.2749385
Other place not listed,2021,Victim,Unable to tell,Asian,Not Applicable,Unable to tell/Gender Nonbinary,Female,Not Applicable,anti-Asian racism,harassment,49.77878692,-119.6662585
Kelowna,2022,Victim,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,uncategorized,uncategorized,49.88342692,-119.4580279
Kelowna,2022,Witness,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Male,Not Applicable,covid,harassment,49.88249314,-119.3888264
Kelowna,2022,Victim,White,Latino,Latino,Male,Female,Male,racial discrimination,discrimination,49.87539516,-119.3943144
Penticton,2022,Victim,Not Applicable,South Asian,Not Applicable,Male,Female,Not Applicable,racial discrimination,discrimination,49.49834042,-119.5988946
Other place not listed,2022,Victim,White,Indigenous,White,Male,Female,Male,racial harassment,harassment,49.82688216,-119.6280087
Oliver,2022,Social Services Worker /Counsellor/ Staff,White,South Asian,Unable to tell,Female,Female,Unable to tell/Gender Nonbinary,racial harassment,harassment,49.18115805,-119.5564314
Penticton,2022,Witness,no answer,no answer,no answer,no answer,no answer,no answer,uncategorized,uncategorized,49.49476704,-119.5934965
Salmon Arm,2022,Social Services Worker /Counsellor/ Staff,White,White,White,White,no answer,White,racial harassment,harassment,50.69920581,-119.2789832
Salmon Arm,2022,Social Services Worker /Counsellor/ Staff,White,South Asian,White,White,no answer,White,racial harassment,harassment,50.7105847,-119.2567552
Kelowna,2021,Victim,no answer,no answer,no answer,no answer,no answer,no answer,disability harassment,harassment,49.86042962,-119.4893704
