lat,long,Public,City,Year
49.4898865,-119.7060012,Social Media - Facebook,Penticton,2021
49.8630769,-119.4569027,Kelowna Christian School,Kelowna,2021
50.7008297,-119.5536337,school,Salmon Arm,2021
49.9391133,-119.3949132,UBCO EME building,Kelowna,2021
49.8814714,-119.4774367,Peters Independent store,Kelowna,2021
49.8814714,-119.4774367,Peters Independent Store,Kelowna,2021
49.8929768,-119.3852367,Mugford st. ,Kelowna,2021
49.8609688,-119.4926394,Restaurant in the Mission Park,Kelowna,2021
49.8986223,-119.458791,At my condo building in central Kelowna,Kelowna,2021
49.8997973,-119.7349741,,Kelowna,2021
49.8992331,-119.4911019,Corner of Richter St and Bay Ave,Kelowna,2021
49.8992331,-119.4911019,House displaying decorations with racist connotations on Bay Ave,Kelowna,2021
49.8997973,-119.7349741,"Sushi restaurant, precise location unknown",Kelowna,2021
49.9144478,-119.4482998,"Korean restaurant on Glenmore ""Bon Ga""",Kelowna,2021
49.8997973,-119.7349741,Streets in Kelowna. ,Kelowna,2021
49.8997973,-119.7349741,residential neighbourhood in Kelowna. ,Kelowna,2021
49.8997973,-119.7349741,This incident happened on a public transit bus in Kelowna.,Kelowna,2021
49.8805612,-119.4323399,Costco Kelowna,Kelowna,2021
49.8616588,-119.4951522,Lakeview Market in Pandosy. ,Kelowna,2021
49.884725,-119.4918765,KCR food safety program does not allow a person who is seeking employment to attend due to vac status.,Kelowna,2021
49.4912364,-119.5716096,Ecole Entre-Lacs,Penticton,2021
50.2345334,-119.8815291,On line - on Facebook,Vernon,2021
49.8997973,-119.7349741,"Parkinson Rec Centre would not let me and my family in. Something about a QR code. I do not have, I will not use a social credit program nor will I take a coercive medical treatment. They are allowing some people to use the publc rec centre but not others.",Kelowna,2021
49.8821993,-119.3914013,Belgo Elementary school ,Kelowna,2021
49.8752603,-119.3965138,"Monterey Road, at home",Kelowna,2021
49.8267334,-119.6302188,Brown Road Westbank BC,,2021
49.1811756,-119.5589098,"on the grounds of a high school in Oliver, BC",Oliver,2021
49.4946521,-119.5956637,Corner at Winnipeg and Orchard Ave - outside the brown brick building on the NW corner,Penticton,2021
50.701059,-119.423108,at school ,Salmon Arm,2021
50.7008021,-119.2841858,Community hall,Salmon Arm,2021
49.8597898,-119.4923639,"Urban Fare Kelowna, Lakeshore Road",Kelowna,2021
49.6027868,-119.6834845,Parking lot at District of Summerland municipal hall.,Summerland,2021
49.4896555,-119.8365286,This is was on a online social media account,Penticton,2021
50.0782825,-119.527153,Incident is hateful graffiti in a library book.  Patron returning book to the Lake Country branch reported the graffiti in the book to library staff.,Lake Country,2021
49.4742278,-119.5842203,"In the business premises of Penticton Global Grocers, 2150 Main Street, Penticton, BC.",Penticton,2021
49.8847805,-119.4333904,"I was making a left turn on Leckie road around 950am on June 22, 2022 (this morning). A passing car yelled ""China"" to me. I am of Chinese descent, so it is offensive to me.",Kelowna,2021
